騎手名,調教師名,出走回数,1着,2着,3着,勝率,複勝率
池谷匠翔,河津裕昭,17,4,0,1,23.50%,29.4%
椿聡太,川島正一,12,4,0,1,33.30%,41.7%
御神本訓史,真島大輔,7,4,0,1,57.10%,71.4%
御神本訓史,藤原智行,7,4,0,0,57.10%,57.1%
谷内貫太,嶋田幸晴,139,3,11,9,2.20%,16.5%
達城龍次,納谷和玖,60,3,11,6,5.00%,33.3%
御神本訓史,佐々木仁,32,3,10,1,9.40%,43.8%
菅原涼太,橋本和馬,29,3,8,8,10.30%,65.5%
鷹見陸,佐々木仁,46,3,7,5,6.50%,32.6%
笠野雄大,岩崎真樹,54,3,6,9,5.60%,33.3%
本田正重,米谷康秀,23,3,6,5,13.00%,60.9%
笹川翼,宗形竹見,43,3,5,9,7.00%,39.5%
澤田龍哉,山下貴之,43,3,5,5,7.00%,30.2%
本田正重,齊藤敏,30,3,5,5,10.00%,43.3%
笠野雄大,平山真希,34,3,5,4,8.80%,35.3%
櫻井光輔,佐藤博紀,46,3,5,3,6.50%,23.9%
東原悠善,赤嶺本浩,39,3,5,2,7.70%,25.6%
山林堂信彦,佐々木仁,38,3,5,1,7.90%,23.7%
町田直希,佐野謙二,26,3,5,1,11.50%,34.6%
安藤洋一,坂井英光,13,3,5,0,23.10%,61.5%
増田充宏,佐々木仁,37,3,5,0,8.10%,21.6%
野畑凌,伊藤滋規,31,3,4,10,9.70%,54.8%
矢野貴之,松浦裕之,19,3,4,4,15.80%,57.9%
御神本訓史,新井清重,14,3,4,3,21.40%,71.4%
本橋孝太,鈴木義久,36,3,4,3,8.30%,27.8%
山崎誠士,鈴木義久,16,3,4,3,18.80%,62.5%
和田譲治,齊藤敏,33,3,4,3,9.10%,30.3%
安藤洋一,村上頼章,17,3,4,2,17.60%,52.9%
笹川翼,鈴木啓之,12,3,4,2,25.00%,75.0%
澤田龍哉,川島正一,38,3,4,2,7.90%,23.7%
町田直希,佐藤博紀,20,3,4,1,15.00%,40.0%
町田直希,林正人,9,3,4,1,33.30%,88.9%
西啓太,張田京,9,3,4,0,33.30%,77.8%
七夕裕次郎,箕輪武,41,3,3,8,7.30%,34.1%
篠谷葵,山田信大,48,3,3,7,6.30%,27.1%
新原周馬,鈴木義久,50,3,3,5,6.00%,22.0%
鷹見陸,阪本一栄,49,3,3,4,6.10%,20.4%
岡田大,川村守男,11,3,3,2,27.30%,72.7%
櫻井光輔,平山真希,24,3,3,2,12.50%,33.3%
達城龍次,立花伸,21,3,3,2,14.30%,38.1%
矢野貴之,佐野謙二,20,3,3,2,15.00%,40.0%
